#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.000000E+00
   2   0.229631E-07   0.000000E+00
   3   0.251785E-07   0.000000E+00
   4   0.276077E-07   0.000000E+00
   5   0.302712E-07   0.000000E+00
   6   0.331917E-07   0.000000E+00
   7   0.363940E-07   0.000000E+00
   8   0.399052E-07   0.000000E+00
   9   0.437552E-07   0.000000E+00
  10   0.479767E-07   0.000000E+00
  11   0.526054E-07   0.000000E+00
  12   0.576806E-07   0.000000E+00
  13   0.632456E-07   0.000000E+00
  14   0.693474E-07   0.000000E+00
  15   0.760379E-07   0.000000E+00
  16   0.833739E-07   0.000000E+00
  17   0.914176E-07   0.000000E+00
  18   0.100237E-06   0.000000E+00
  19   0.109908E-06   0.000000E+00
  20   0.120512E-06   0.000000E+00
  21   0.132139E-06   0.000000E+00
  22   0.144887E-06   0.000000E+00
  23   0.158866E-06   0.000000E+00
  24   0.174193E-06   0.000000E+00
  25   0.190999E-06   0.000000E+00
  26   0.209426E-06   0.000000E+00
  27   0.229631E-06   0.000000E+00
  28   0.251785E-06   0.000000E+00
  29   0.276077E-06   0.000000E+00
  30   0.302712E-06   0.000000E+00
  31   0.331917E-06   0.000000E+00
  32   0.363940E-06   0.000000E+00
  33   0.399052E-06   0.000000E+00
  34   0.437552E-06   0.000000E+00
  35   0.479767E-06   0.000000E+00
  36   0.526054E-06   0.000000E+00
  37   0.576806E-06   0.000000E+00
  38   0.632456E-06   0.000000E+00
  39   0.693474E-06   0.000000E+00
  40   0.760379E-06   0.000000E+00
  41   0.833739E-06   0.000000E+00
  42   0.914176E-06   0.000000E+00
  43   0.100237E-05   0.000000E+00
  44   0.109908E-05   0.000000E+00
  45   0.120512E-05   0.000000E+00
  46   0.132139E-05   0.000000E+00
  47   0.144887E-05   0.000000E+00
  48   0.158866E-05   0.000000E+00
  49   0.174193E-05   0.000000E+00
  50   0.190999E-05   0.363810E-03
  51   0.209426E-05   0.298619E-02
  52   0.229631E-05   0.907811E-03
  53   0.251785E-05   0.000000E+00
  54   0.276077E-05   0.755084E-03
  55   0.302712E-05   0.206594E-02
  56   0.331917E-05   0.209351E-03
  57   0.363940E-05   0.000000E+00
  58   0.399052E-05   0.000000E+00
  59   0.437552E-05   0.000000E+00
  60   0.479767E-05   0.000000E+00
  61   0.526054E-05   0.000000E+00
  62   0.576806E-05   0.337312E-02
  63   0.632456E-05   0.329606E-02
  64   0.693474E-05   0.140282E-02
  65   0.760379E-05   0.548309E-03
  66   0.833739E-05   0.450058E-02
  67   0.914176E-05   0.296441E-02
  68   0.100237E-04   0.554580E-02
  69   0.109908E-04   0.992599E-02
  70   0.120512E-04   0.123969E-01
  71   0.132139E-04   0.920264E-02
  72   0.144887E-04   0.111746E-01
  73   0.158866E-04   0.129032E-01
  74   0.174193E-04   0.162755E-01
  75   0.190999E-04   0.218650E-01
  76   0.209426E-04   0.228609E-01
  77   0.229631E-04   0.260542E-01
  78   0.251785E-04   0.292537E-01
  79   0.276077E-04   0.340291E-01
  80   0.302712E-04   0.408596E-01
  81   0.331917E-04   0.456384E-01
  82   0.363940E-04   0.662336E-01
  83   0.399052E-04   0.775750E-01
  84   0.437552E-04   0.884564E-01
  85   0.479767E-04   0.106744E+00
  86   0.526054E-04   0.124826E+00
  87   0.576806E-04   0.153321E+00
  88   0.632456E-04   0.184085E+00
  89   0.693474E-04   0.219371E+00
  90   0.760379E-04   0.261315E+00
  91   0.833739E-04   0.311331E+00
  92   0.914176E-04   0.374147E+00
  93   0.100237E-03   0.446402E+00
  94   0.109908E-03   0.526963E+00
  95   0.120512E-03   0.617653E+00
  96   0.132139E-03   0.738735E+00
  97   0.144887E-03   0.874080E+00
  98   0.158866E-03   0.102265E+01
  99   0.174193E-03   0.119250E+01
 100   0.190999E-03   0.138722E+01
 101   0.209426E-03   0.161190E+01
 102   0.229631E-03   0.187997E+01
 103   0.251785E-03   0.217914E+01
 104   0.276077E-03   0.251641E+01
 105   0.302712E-03   0.289290E+01
 106   0.331917E-03   0.331576E+01
 107   0.363940E-03   0.380525E+01
 108   0.399052E-03   0.437302E+01
 109   0.437552E-03   0.498868E+01
 110   0.479767E-03   0.563223E+01
 111   0.526054E-03   0.638584E+01
 112   0.576806E-03   0.727620E+01
 113   0.632456E-03   0.822948E+01
 114   0.693474E-03   0.925538E+01
 115   0.760379E-03   0.103576E+02
 116   0.833739E-03   0.115740E+02
 117   0.914176E-03   0.129839E+02
 118   0.100237E-02   0.144893E+02
 119   0.109908E-02   0.160852E+02
 120   0.120512E-02   0.177659E+02
 121   0.132139E-02   0.196145E+02
 122   0.144887E-02   0.216674E+02
 123   0.158866E-02   0.238269E+02
 124   0.174193E-02   0.260701E+02
 125   0.190999E-02   0.283785E+02
 126   0.209426E-02   0.308917E+02
 127   0.229631E-02   0.336134E+02
 128   0.251785E-02   0.363916E+02
 129   0.276077E-02   0.392161E+02
 130   0.302712E-02   0.420716E+02
 131   0.331917E-02   0.450832E+02
 132   0.363940E-02   0.482841E+02
 133   0.399052E-02   0.514784E+02
 134   0.437552E-02   0.546453E+02
 135   0.479767E-02   0.577672E+02
 136   0.526054E-02   0.609994E+02
 137   0.576806E-02   0.643281E+02
 138   0.632456E-02   0.675570E+02
 139   0.693474E-02   0.706620E+02
 140   0.760379E-02   0.736245E+02
 141   0.833739E-02   0.766116E+02
 142   0.914176E-02   0.796098E+02
 143   0.100237E-01   0.824042E+02
 144   0.109908E-01   0.849892E+02
 145   0.120512E-01   0.873607E+02
 146   0.132139E-01   0.896559E+02
 147   0.144887E-01   0.918163E+02
 148   0.158866E-01   0.937103E+02
 149   0.174193E-01   0.953288E+02
 150   0.190999E-01   0.966612E+02
 151   0.209426E-01   0.978223E+02
 152   0.229631E-01   0.987989E+02
 153   0.251785E-01   0.994562E+02
 154   0.276077E-01   0.997992E+02
 155   0.302712E-01   0.998346E+02
 156   0.331917E-01   0.996415E+02
 157   0.363940E-01   0.992264E+02
 158   0.399052E-01   0.985001E+02
 159   0.437552E-01   0.974836E+02
 160   0.479767E-01   0.961977E+02
 161   0.526054E-01   0.946876E+02
 162   0.576806E-01   0.929732E+02
 163   0.632456E-01   0.910108E+02
 164   0.693474E-01   0.888257E+02
 165   0.760379E-01   0.864460E+02
 166   0.833739E-01   0.839103E+02
 167   0.914176E-01   0.812220E+02
 168   0.100237E+00   0.783850E+02
 169   0.109908E+00   0.754287E+02
 170   0.120512E+00   0.723809E+02
 171   0.132139E+00   0.692535E+02
 172   0.144887E+00   0.660574E+02
 173   0.158866E+00   0.628226E+02
 174   0.174193E+00   0.595725E+02
 175   0.190999E+00   0.563282E+02
 176   0.209426E+00   0.530873E+02
 177   0.229631E+00   0.498663E+02
 178   0.251785E+00   0.466998E+02
 179   0.276077E+00   0.436034E+02
 180   0.302712E+00   0.405907E+02
 181   0.331917E+00   0.376552E+02
 182   0.363940E+00   0.348070E+02
 183   0.399052E+00   0.320748E+02
 184   0.437552E+00   0.294669E+02
 185   0.479767E+00   0.269890E+02
 186   0.526054E+00   0.246301E+02
 187   0.576806E+00   0.223970E+02
 188   0.632456E+00   0.203041E+02
 189   0.693474E+00   0.183505E+02
 190   0.760379E+00   0.165343E+02
 191   0.833739E+00   0.148459E+02
 192   0.914176E+00   0.132829E+02
 193   0.100237E+01   0.118490E+02
 194   0.109908E+01   0.105383E+02
 195   0.120512E+01   0.934453E+01
 196   0.132139E+01   0.825791E+01
 197   0.144887E+01   0.727375E+01
 198   0.158866E+01   0.638797E+01
 199   0.174193E+01   0.559315E+01
 200   0.190999E+01   0.488204E+01
 201   0.209426E+01   0.424695E+01
 202   0.229631E+01   0.368253E+01
 203   0.251785E+01   0.318297E+01
 204   0.276077E+01   0.274219E+01
 205   0.302712E+01   0.235448E+01
 206   0.331917E+01   0.201465E+01
 207   0.363940E+01   0.171808E+01
 208   0.399052E+01   0.146001E+01
 209   0.437552E+01   0.123613E+01
 210   0.479767E+01   0.104251E+01
 211   0.526054E+01   0.876043E+00
 212   0.576806E+01   0.733538E+00
 213   0.632456E+01   0.611642E+00
 214   0.693474E+01   0.507726E+00
 215   0.760379E+01   0.419517E+00
