#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.000000E+00
   2   0.229631E-07   0.000000E+00
   3   0.251785E-07   0.000000E+00
   4   0.276077E-07   0.000000E+00
   5   0.302712E-07   0.000000E+00
   6   0.331917E-07   0.000000E+00
   7   0.363940E-07   0.000000E+00
   8   0.399052E-07   0.000000E+00
   9   0.437552E-07   0.000000E+00
  10   0.479767E-07   0.000000E+00
  11   0.526054E-07   0.000000E+00
  12   0.576806E-07   0.000000E+00
  13   0.632456E-07   0.000000E+00
  14   0.693474E-07   0.000000E+00
  15   0.760379E-07   0.000000E+00
  16   0.833739E-07   0.000000E+00
  17   0.914176E-07   0.000000E+00
  18   0.100237E-06   0.000000E+00
  19   0.109908E-06   0.000000E+00
  20   0.120512E-06   0.000000E+00
  21   0.132139E-06   0.000000E+00
  22   0.144887E-06   0.000000E+00
  23   0.158866E-06   0.000000E+00
  24   0.174193E-06   0.000000E+00
  25   0.190999E-06   0.000000E+00
  26   0.209426E-06   0.000000E+00
  27   0.229631E-06   0.000000E+00
  28   0.251785E-06   0.000000E+00
  29   0.276077E-06   0.000000E+00
  30   0.302712E-06   0.000000E+00
  31   0.331917E-06   0.000000E+00
  32   0.363940E-06   0.000000E+00
  33   0.399052E-06   0.000000E+00
  34   0.437552E-06   0.000000E+00
  35   0.479767E-06   0.000000E+00
  36   0.526054E-06   0.000000E+00
  37   0.576806E-06   0.000000E+00
  38   0.632456E-06   0.000000E+00
  39   0.693474E-06   0.000000E+00
  40   0.760379E-06   0.000000E+00
  41   0.833739E-06   0.000000E+00
  42   0.914176E-06   0.000000E+00
  43   0.100237E-05   0.000000E+00
  44   0.109908E-05   0.000000E+00
  45   0.120512E-05   0.000000E+00
  46   0.132139E-05   0.000000E+00
  47   0.144887E-05   0.000000E+00
  48   0.158866E-05   0.000000E+00
  49   0.174193E-05   0.000000E+00
  50   0.190999E-05   0.000000E+00
  51   0.209426E-05   0.000000E+00
  52   0.229631E-05   0.000000E+00
  53   0.251785E-05   0.000000E+00
  54   0.276077E-05   0.000000E+00
  55   0.302712E-05   0.000000E+00
  56   0.331917E-05   0.000000E+00
  57   0.363940E-05   0.000000E+00
  58   0.399052E-05   0.000000E+00
  59   0.437552E-05   0.000000E+00
  60   0.479767E-05   0.000000E+00
  61   0.526054E-05   0.000000E+00
  62   0.576806E-05   0.000000E+00
  63   0.632456E-05   0.000000E+00
  64   0.693474E-05   0.000000E+00
  65   0.760379E-05   0.000000E+00
  66   0.833739E-05   0.000000E+00
  67   0.914176E-05   0.000000E+00
  68   0.100237E-04   0.000000E+00
  69   0.109908E-04   0.000000E+00
  70   0.120512E-04   0.000000E+00
  71   0.132139E-04   0.000000E+00
  72   0.144887E-04   0.000000E+00
  73   0.158866E-04   0.000000E+00
  74   0.174193E-04   0.000000E+00
  75   0.190999E-04   0.000000E+00
  76   0.209426E-04   0.000000E+00
  77   0.229631E-04   0.000000E+00
  78   0.251785E-04   0.000000E+00
  79   0.276077E-04   0.000000E+00
  80   0.302712E-04   0.000000E+00
  81   0.331917E-04   0.000000E+00
  82   0.363940E-04   0.000000E+00
  83   0.399052E-04   0.000000E+00
  84   0.437552E-04   0.000000E+00
  85   0.479767E-04   0.000000E+00
  86   0.526054E-04   0.000000E+00
  87   0.576806E-04   0.000000E+00
  88   0.632456E-04   0.000000E+00
  89   0.693474E-04   0.000000E+00
  90   0.760379E-04   0.000000E+00
  91   0.833739E-04   0.000000E+00
  92   0.914176E-04   0.000000E+00
  93   0.100237E-03   0.000000E+00
  94   0.109908E-03   0.000000E+00
  95   0.120512E-03   0.000000E+00
  96   0.132139E-03   0.000000E+00
  97   0.144887E-03   0.000000E+00
  98   0.158866E-03   0.000000E+00
  99   0.174193E-03   0.000000E+00
 100   0.190999E-03   0.000000E+00
 101   0.209426E-03   0.000000E+00
 102   0.229631E-03   0.000000E+00
 103   0.251785E-03   0.000000E+00
 104   0.276077E-03   0.000000E+00
 105   0.302712E-03   0.000000E+00
 106   0.331917E-03   0.000000E+00
 107   0.363940E-03   0.000000E+00
 108   0.399052E-03   0.000000E+00
 109   0.437552E-03   0.000000E+00
 110   0.479767E-03   0.000000E+00
 111   0.526054E-03   0.000000E+00
 112   0.576806E-03   0.000000E+00
 113   0.632456E-03   0.000000E+00
 114   0.693474E-03   0.000000E+00
 115   0.760379E-03   0.000000E+00
 116   0.833739E-03   0.000000E+00
 117   0.914176E-03   0.000000E+00
 118   0.100237E-02   0.000000E+00
 119   0.109908E-02   0.000000E+00
 120   0.120512E-02   0.000000E+00
 121   0.132139E-02   0.000000E+00
 122   0.144887E-02   0.000000E+00
 123   0.158866E-02   0.000000E+00
 124   0.174193E-02   0.000000E+00
 125   0.190999E-02   0.000000E+00
 126   0.209426E-02   0.000000E+00
 127   0.229631E-02   0.000000E+00
 128   0.251785E-02   0.000000E+00
 129   0.276077E-02   0.000000E+00
 130   0.302712E-02   0.000000E+00
 131   0.331917E-02   0.000000E+00
 132   0.363940E-02   0.000000E+00
 133   0.399052E-02   0.000000E+00
 134   0.437552E-02   0.000000E+00
 135   0.479767E-02   0.000000E+00
 136   0.526054E-02   0.000000E+00
 137   0.576806E-02   0.000000E+00
 138   0.632456E-02   0.000000E+00
 139   0.693474E-02   0.000000E+00
 140   0.760379E-02   0.000000E+00
 141   0.833739E-02   0.000000E+00
 142   0.914176E-02   0.000000E+00
 143   0.100237E-01   0.000000E+00
 144   0.109908E-01   0.000000E+00
 145   0.120512E-01   0.000000E+00
 146   0.132139E-01   0.000000E+00
 147   0.144887E-01   0.000000E+00
 148   0.158866E-01   0.000000E+00
 149   0.174193E-01   0.000000E+00
 150   0.190999E-01   0.000000E+00
 151   0.209426E-01   0.000000E+00
 152   0.229631E-01   0.000000E+00
 153   0.251785E-01   0.000000E+00
 154   0.276077E-01   0.000000E+00
 155   0.302712E-01   0.000000E+00
 156   0.331917E-01   0.000000E+00
 157   0.363940E-01   0.000000E+00
 158   0.399052E-01   0.000000E+00
 159   0.437552E-01   0.000000E+00
 160   0.479767E-01   0.000000E+00
 161   0.526054E-01   0.000000E+00
 162   0.576806E-01   0.000000E+00
 163   0.632456E-01   0.000000E+00
 164   0.693474E-01   0.000000E+00
 165   0.760379E-01   0.000000E+00
 166   0.833739E-01   0.000000E+00
 167   0.914176E-01   0.000000E+00
 168   0.100237E+00   0.000000E+00
 169   0.109908E+00   0.000000E+00
 170   0.120512E+00   0.000000E+00
 171   0.132139E+00   0.000000E+00
 172   0.144887E+00   0.000000E+00
 173   0.158866E+00   0.000000E+00
 174   0.174193E+00   0.000000E+00
 175   0.190999E+00   0.000000E+00
 176   0.209426E+00   0.000000E+00
 177   0.229631E+00   0.000000E+00
 178   0.251785E+00   0.000000E+00
 179   0.276077E+00   0.000000E+00
 180   0.302712E+00   0.000000E+00
 181   0.331917E+00   0.000000E+00
 182   0.363940E+00   0.000000E+00
 183   0.399052E+00   0.000000E+00
 184   0.437552E+00   0.000000E+00
 185   0.479767E+00   0.000000E+00
 186   0.526054E+00   0.000000E+00
 187   0.576806E+00   0.000000E+00
 188   0.632456E+00   0.000000E+00
 189   0.693474E+00   0.000000E+00
 190   0.760379E+00   0.000000E+00
 191   0.833739E+00   0.000000E+00
 192   0.914176E+00   0.000000E+00
 193   0.100237E+01   0.000000E+00
 194   0.109908E+01   0.000000E+00
 195   0.120512E+01   0.000000E+00
 196   0.132139E+01   0.000000E+00
 197   0.144887E+01   0.000000E+00
 198   0.158866E+01   0.000000E+00
 199   0.174193E+01   0.000000E+00
 200   0.190999E+01   0.000000E+00
 201   0.209426E+01   0.000000E+00
 202   0.229631E+01   0.000000E+00
 203   0.251785E+01   0.000000E+00
 204   0.276077E+01   0.000000E+00
 205   0.302712E+01   0.000000E+00
 206   0.331917E+01   0.000000E+00
 207   0.363940E+01   0.000000E+00
 208   0.399052E+01   0.000000E+00
 209   0.437552E+01   0.000000E+00
 210   0.479767E+01   0.000000E+00
 211   0.526054E+01   0.000000E+00
 212   0.576806E+01   0.000000E+00
 213   0.632456E+01   0.000000E+00
 214   0.693474E+01   0.000000E+00
 215   0.760379E+01   0.000000E+00
