#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.831325E+05
   2   0.229631E-07   0.775518E+05
   3   0.251785E-07   0.725622E+05
   4   0.276077E-07   0.678896E+05
   5   0.302712E-07   0.635093E+05
   6   0.331917E-07   0.593372E+05
   7   0.363940E-07   0.553111E+05
   8   0.399052E-07   0.516679E+05
   9   0.437552E-07   0.483265E+05
  10   0.479767E-07   0.451683E+05
  11   0.526054E-07   0.420775E+05
  12   0.576806E-07   0.393686E+05
  13   0.632456E-07   0.367535E+05
  14   0.693474E-07   0.342598E+05
  15   0.760379E-07   0.319534E+05
  16   0.833739E-07   0.298952E+05
  17   0.914176E-07   0.279086E+05
  18   0.100237E-06   0.260338E+05
  19   0.109908E-06   0.243101E+05
  20   0.120512E-06   0.227480E+05
  21   0.132139E-06   0.212895E+05
  22   0.144887E-06   0.199136E+05
  23   0.158866E-06   0.186292E+05
  24   0.174193E-06   0.174269E+05
  25   0.190999E-06   0.163005E+05
  26   0.209426E-06   0.152674E+05
  27   0.229631E-06   0.142922E+05
  28   0.251785E-06   0.133583E+05
  29   0.276077E-06   0.124799E+05
  30   0.302712E-06   0.116681E+05
  31   0.331917E-06   0.109195E+05
  32   0.363940E-06   0.102131E+05
  33   0.399052E-06   0.953630E+04
  34   0.437552E-06   0.889579E+04
  35   0.479767E-06   0.829873E+04
  36   0.526054E-06   0.774947E+04
  37   0.576806E-06   0.723374E+04
  38   0.632456E-06   0.674923E+04
  39   0.693474E-06   0.629387E+04
  40   0.760379E-06   0.586729E+04
  41   0.833739E-06   0.547563E+04
  42   0.914176E-06   0.509858E+04
  43   0.100237E-05   0.474777E+04
  44   0.109908E-05   0.442043E+04
  45   0.120512E-05   0.411411E+04
  46   0.132139E-05   0.383527E+04
  47   0.144887E-05   0.357240E+04
  48   0.158866E-05   0.333020E+04
  49   0.174193E-05   0.310254E+04
  50   0.190999E-05   0.288560E+04
  51   0.209426E-05   0.268679E+04
  52   0.229631E-05   0.250272E+04
  53   0.251785E-05   0.232960E+04
  54   0.276077E-05   0.216872E+04
  55   0.302712E-05   0.202039E+04
  56   0.331917E-05   0.187988E+04
  57   0.363940E-05   0.175038E+04
  58   0.399052E-05   0.163174E+04
  59   0.437552E-05   0.152063E+04
  60   0.479767E-05   0.141487E+04
  61   0.526054E-05   0.131671E+04
  62   0.576806E-05   0.122428E+04
  63   0.632456E-05   0.113857E+04
  64   0.693474E-05   0.105954E+04
  65   0.760379E-05   0.986433E+03
  66   0.833739E-05   0.916592E+03
  67   0.914176E-05   0.852280E+03
  68   0.100237E-04   0.791845E+03
  69   0.109908E-04   0.735476E+03
  70   0.120512E-04   0.683427E+03
  71   0.132139E-04   0.635540E+03
  72   0.144887E-04   0.589483E+03
  73   0.158866E-04   0.546871E+03
  74   0.174193E-04   0.507927E+03
  75   0.190999E-04   0.472149E+03
  76   0.209426E-04   0.437417E+03
  77   0.229631E-04   0.405467E+03
  78   0.251785E-04   0.375920E+03
  79   0.276077E-04   0.348675E+03
  80   0.302712E-04   0.323536E+03
  81   0.331917E-04   0.299859E+03
  82   0.363940E-04   0.277669E+03
  83   0.399052E-04   0.257345E+03
  84   0.437552E-04   0.238593E+03
  85   0.479767E-04   0.221080E+03
  86   0.526054E-04   0.204569E+03
  87   0.576806E-04   0.189278E+03
  88   0.632456E-04   0.175149E+03
  89   0.693474E-04   0.162086E+03
  90   0.760379E-04   0.149988E+03
  91   0.833739E-04   0.138739E+03
  92   0.914176E-04   0.128328E+03
  93   0.100237E-03   0.118746E+03
  94   0.109908E-03   0.109835E+03
  95   0.120512E-03   0.101506E+03
  96   0.132139E-03   0.939324E+02
  97   0.144887E-03   0.867975E+02
  98   0.158866E-03   0.802025E+02
  99   0.174193E-03   0.741056E+02
 100   0.190999E-03   0.684549E+02
 101   0.209426E-03   0.632316E+02
 102   0.229631E-03   0.584798E+02
 103   0.251785E-03   0.540622E+02
 104   0.276077E-03   0.499476E+02
 105   0.302712E-03   0.461285E+02
 106   0.331917E-03   0.426155E+02
 107   0.363940E-03   0.394056E+02
 108   0.399052E-03   0.364138E+02
 109   0.437552E-03   0.336404E+02
 110   0.479767E-03   0.310952E+02
 111   0.526054E-03   0.287873E+02
 112   0.576806E-03   0.267048E+02
 113   0.632456E-03   0.247633E+02
 114   0.693474E-03   0.229905E+02
 115   0.760379E-03   0.214053E+02
 116   0.833739E-03   0.199669E+02
 117   0.914176E-03   0.186965E+02
 118   0.100237E-02   0.175673E+02
 119   0.109908E-02   0.165793E+02
 120   0.120512E-02   0.157333E+02
 121   0.132139E-02   0.150544E+02
 122   0.144887E-02   0.145687E+02
 123   0.158866E-02   0.142353E+02
 124   0.174193E-02   0.140309E+02
 125   0.190999E-02   0.139408E+02
 126   0.209426E-02   0.140239E+02
 127   0.229631E-02   0.142820E+02
 128   0.251785E-02   0.146793E+02
 129   0.276077E-02   0.152020E+02
 130   0.302712E-02   0.158369E+02
 131   0.331917E-02   0.166530E+02
 132   0.363940E-02   0.176455E+02
 133   0.399052E-02   0.187366E+02
 134   0.437552E-02   0.199265E+02
 135   0.479767E-02   0.212117E+02
 136   0.526054E-02   0.226693E+02
 137   0.576806E-02   0.243271E+02
 138   0.632456E-02   0.260819E+02
 139   0.693474E-02   0.279254E+02
 140   0.760379E-02   0.298469E+02
 141   0.833739E-02   0.319537E+02
 142   0.914176E-02   0.342353E+02
 143   0.100237E-01   0.365902E+02
 144   0.109908E-01   0.389839E+02
 145   0.120512E-01   0.413859E+02
 146   0.132139E-01   0.439392E+02
 147   0.144887E-01   0.466175E+02
 148   0.158866E-01   0.492733E+02
 149   0.174193E-01   0.518799E+02
 150   0.190999E-01   0.544107E+02
 151   0.209426E-01   0.569837E+02
 152   0.229631E-01   0.595787E+02
 153   0.251785E-01   0.620248E+02
 154   0.276077E-01   0.643039E+02
 155   0.302712E-01   0.663984E+02
 156   0.331917E-01   0.683992E+02
 157   0.363940E-01   0.702918E+02
 158   0.399052E-01   0.719300E+02
 159   0.437552E-01   0.733007E+02
 160   0.479767E-01   0.743972E+02
 161   0.526054E-01   0.753001E+02
 162   0.576806E-01   0.759717E+02
 163   0.632456E-01   0.763326E+02
 164   0.693474E-01   0.763892E+02
 165   0.760379E-01   0.761513E+02
 166   0.833739E-01   0.756744E+02
 167   0.914176E-01   0.749369E+02
 168   0.100237E+00   0.739155E+02
 169   0.109908E+00   0.726306E+02
 170   0.120512E+00   0.711036E+02
 171   0.132139E+00   0.693637E+02
 172   0.144887E+00   0.674266E+02
 173   0.158866E+00   0.653012E+02
 174   0.174193E+00   0.630153E+02
