#  i        E [GeV]   yield [GeV^-1 ann^-1]
 167   0.914176E-01   0.322589E+02
 168   0.100237E+00   0.309218E+02
 169   0.109908E+00   0.295517E+02
 170   0.120512E+00   0.281573E+02
 171   0.132139E+00   0.267392E+02
 172   0.144887E+00   0.253120E+02
 173   0.158866E+00   0.238899E+02
 174   0.174193E+00   0.224816E+02
 175   0.190999E+00   0.210951E+02
 176   0.209426E+00   0.197317E+02
 177   0.229631E+00   0.184009E+02
 178   0.251785E+00   0.171141E+02
 179   0.276077E+00   0.158769E+02
 180   0.302712E+00   0.146937E+02
 181   0.331917E+00   0.135617E+02
 182   0.363940E+00   0.124852E+02
 183   0.399052E+00   0.114689E+02
 184   0.437552E+00   0.105131E+02
 185   0.479767E+00   0.961747E+01
 186   0.526054E+00   0.877726E+01
 187   0.576806E+00   0.799294E+01
 188   0.632456E+00   0.726444E+01
 189   0.693474E+00   0.658939E+01
 190   0.760379E+00   0.596523E+01
 191   0.833739E+00   0.538676E+01
 192   0.914176E+00   0.485320E+01
 193   0.100237E+01   0.436289E+01
 194   0.109908E+01   0.391296E+01
 195   0.120512E+01   0.350079E+01
 196   0.132139E+01   0.312283E+01
 197   0.144887E+01   0.277734E+01
 198   0.158866E+01   0.246294E+01
 199   0.174193E+01   0.217762E+01
 200   0.190999E+01   0.191936E+01
 201   0.209426E+01   0.168525E+01
 202   0.229631E+01   0.147432E+01
 203   0.251785E+01   0.128519E+01
 204   0.276077E+01   0.111617E+01
 205   0.302712E+01   0.965653E+00
 206   0.331917E+01   0.831821E+00
 207   0.363940E+01   0.713545E+00
 208   0.399052E+01   0.609514E+00
 209   0.437552E+01   0.518334E+00
 210   0.479767E+01   0.438712E+00
 211   0.526054E+01   0.369564E+00
 212   0.576806E+01   0.309868E+00
 213   0.632456E+01   0.258446E+00
 214   0.693474E+01   0.214338E+00
 215   0.760379E+01   0.176683E+00
 216   0.833739E+01   0.144858E+00
 217   0.914176E+01   0.118156E+00
 218   0.100237E+02   0.957712E-01
 219   0.109908E+02   0.771238E-01
 220   0.120512E+02   0.616962E-01
 221   0.132139E+02   0.491245E-01
 222   0.144887E+02   0.389724E-01
 223   0.158866E+02   0.307503E-01
 224   0.174193E+02   0.241365E-01
 225   0.190999E+02   0.188541E-01
 226   0.209426E+02   0.147190E-01
 227   0.229631E+02   0.115010E-01
 228   0.251785E+02   0.896906E-02
 229   0.276077E+02   0.698554E-02
 230   0.302712E+02   0.543857E-02
 231   0.331917E+02   0.425802E-02
 232   0.363940E+02   0.335015E-02
 233   0.399052E+02   0.263999E-02
 234   0.437552E+02   0.208251E-02
 235   0.479767E+02   0.164221E-02
 236   0.526054E+02   0.129738E-02
 237   0.576806E+02   0.101960E-02
 238   0.632456E+02   0.791246E-03
 239   0.693474E+02   0.601824E-03
 240   0.760379E+02   0.443571E-03
 241   0.833739E+02   0.312467E-03
 242   0.914176E+02   0.206709E-03
 243   0.100237E+03   0.124935E-03
 244   0.109908E+03   0.658366E-04
 245   0.120512E+03   0.274398E-04
 246   0.132139E+03   0.871709E-05
 247   0.144887E+03   0.224390E-05
 248   0.158866E+03   0.277287E-06
 249   0.174193E+03   0.761917E-08
 250   0.190999E+03   0.327429E-09
