#  i        E [GeV]   yield [GeV^-1 ann^-1]
 167   0.914176E-01   0.512005E+02
 168   0.100237E+00   0.490807E+02
 169   0.109908E+00   0.468960E+02
 170   0.120512E+00   0.446643E+02
 171   0.132139E+00   0.423934E+02
 172   0.144887E+00   0.400931E+02
 173   0.158866E+00   0.377953E+02
 174   0.174193E+00   0.355152E+02
 175   0.190999E+00   0.332667E+02
 176   0.209426E+00   0.310518E+02
 177   0.229631E+00   0.288761E+02
 178   0.251785E+00   0.267679E+02
 179   0.276077E+00   0.247358E+02
 180   0.302712E+00   0.227866E+02
 181   0.331917E+00   0.209163E+02
 182   0.363940E+00   0.191286E+02
 183   0.399052E+00   0.174391E+02
 184   0.437552E+00   0.158499E+02
 185   0.479767E+00   0.143610E+02
 186   0.526054E+00   0.129626E+02
 187   0.576806E+00   0.116590E+02
 188   0.632456E+00   0.104534E+02
 189   0.693474E+00   0.934199E+01
 190   0.760379E+00   0.832110E+01
 191   0.833739E+00   0.738425E+01
 192   0.914176E+00   0.652817E+01
 193   0.100237E+01   0.575106E+01
 194   0.109908E+01   0.504875E+01
 195   0.120512E+01   0.441675E+01
 196   0.132139E+01   0.384837E+01
 197   0.144887E+01   0.333972E+01
 198   0.158866E+01   0.288725E+01
 199   0.174193E+01   0.248619E+01
 200   0.190999E+01   0.213196E+01
 201   0.209426E+01   0.182043E+01
 202   0.229631E+01   0.154784E+01
 203   0.251785E+01   0.131028E+01
 204   0.276077E+01   0.110402E+01
 205   0.302712E+01   0.925659E+00
 206   0.331917E+01   0.772628E+00
 207   0.363940E+01   0.641990E+00
 208   0.399052E+01   0.530750E+00
 209   0.437552E+01   0.436464E+00
 210   0.479767E+01   0.356938E+00
 211   0.526054E+01   0.290653E+00
 212   0.576806E+01   0.235704E+00
 213   0.632456E+01   0.190178E+00
 214   0.693474E+01   0.152663E+00
 215   0.760379E+01   0.121919E+00
 216   0.833739E+01   0.971340E-01
 217   0.914176E+01   0.772559E-01
 218   0.100237E+02   0.612486E-01
 219   0.109908E+02   0.484467E-01
 220   0.120512E+02   0.382817E-01
 221   0.132139E+02   0.303772E-01
 222   0.144887E+02   0.242371E-01
 223   0.158866E+02   0.194022E-01
 224   0.174193E+02   0.156102E-01
