#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.000000E+00
   2   0.229631E-07   0.000000E+00
   3   0.251785E-07   0.000000E+00
   4   0.276077E-07   0.000000E+00
   5   0.302712E-07   0.000000E+00
   6   0.331917E-07   0.000000E+00
   7   0.363940E-07   0.000000E+00
   8   0.399052E-07   0.000000E+00
   9   0.437552E-07   0.000000E+00
  10   0.479767E-07   0.000000E+00
  11   0.526054E-07   0.000000E+00
  12   0.576806E-07   0.000000E+00
  13   0.632456E-07   0.000000E+00
  14   0.693474E-07   0.000000E+00
  15   0.760379E-07   0.000000E+00
  16   0.833739E-07   0.000000E+00
  17   0.914176E-07   0.000000E+00
  18   0.100237E-06   0.000000E+00
  19   0.109908E-06   0.000000E+00
  20   0.120512E-06   0.000000E+00
  21   0.132139E-06   0.000000E+00
  22   0.144887E-06   0.000000E+00
  23   0.158866E-06   0.000000E+00
  24   0.174193E-06   0.000000E+00
  25   0.190999E-06   0.000000E+00
  26   0.209426E-06   0.000000E+00
  27   0.229631E-06   0.000000E+00
  28   0.251785E-06   0.000000E+00
  29   0.276077E-06   0.000000E+00
  30   0.302712E-06   0.000000E+00
  31   0.331917E-06   0.000000E+00
  32   0.363940E-06   0.000000E+00
  33   0.399052E-06   0.000000E+00
  34   0.437552E-06   0.000000E+00
  35   0.479767E-06   0.000000E+00
  36   0.526054E-06   0.000000E+00
  37   0.576806E-06   0.843281E-02
  38   0.632456E-06   0.549344E-02
  39   0.693474E-06   0.000000E+00
  40   0.760379E-06   0.000000E+00
  41   0.833739E-06   0.000000E+00
  42   0.914176E-06   0.000000E+00
  43   0.100237E-05   0.000000E+00
  44   0.109908E-05   0.189669E-02
  45   0.120512E-05   0.518940E-02
  46   0.132139E-05   0.525865E-03
  47   0.144887E-05   0.335716E-02
  48   0.158866E-05   0.437395E-02
  49   0.174193E-05   0.398909E-02
  50   0.190999E-05   0.400191E-02
  51   0.209426E-05   0.630417E-02
  52   0.229631E-05   0.102885E-01
  53   0.251785E-05   0.551956E-02
  54   0.276077E-05   0.000000E+00
  55   0.302712E-05   0.688645E-03
  56   0.331917E-05   0.565247E-02
  57   0.363940E-05   0.706441E-02
  58   0.399052E-05   0.609456E-02
  59   0.437552E-05   0.476426E-02
  60   0.479767E-05   0.420022E-02
  61   0.526054E-05   0.277392E-02
  62   0.576806E-05   0.240937E-02
  63   0.632456E-05   0.164803E-02
  64   0.693474E-05   0.190383E-02
  65   0.760379E-05   0.365539E-02
  66   0.833739E-05   0.333376E-02
  67   0.914176E-05   0.357250E-02
  68   0.100237E-04   0.589241E-02
  69   0.109908E-04   0.663840E-02
  70   0.120512E-04   0.438216E-02
  71   0.132139E-04   0.652073E-02
  72   0.144887E-04   0.589901E-02
  73   0.158866E-04   0.634223E-02
  74   0.174193E-04   0.773884E-02
  75   0.190999E-04   0.898610E-02
  76   0.209426E-04   0.739910E-02
  77   0.229631E-04   0.771640E-02
  78   0.251785E-04   0.952124E-02
  79   0.276077E-04   0.106467E-01
  80   0.302712E-04   0.101001E-01
  81   0.331917E-04   0.108862E-01
  82   0.363940E-04   0.126587E-01
  83   0.399052E-04   0.118409E-01
  84   0.437552E-04   0.109737E-01
  85   0.479767E-04   0.119634E-01
  86   0.526054E-04   0.126015E-01
  87   0.576806E-04   0.118541E-01
  88   0.632456E-04   0.129645E-01
  89   0.693474E-04   0.146294E-01
  90   0.760379E-04   0.152430E-01
  91   0.833739E-04   0.137684E-01
  92   0.914176E-04   0.154150E-01
  93   0.100237E-03   0.171573E-01
  94   0.109908E-03   0.187772E-01
  95   0.120512E-03   0.200253E-01
  96   0.132139E-03   0.188102E-01
  97   0.144887E-03   0.207425E-01
  98   0.158866E-03   0.212356E-01
  99   0.174193E-03   0.218403E-01
 100   0.190999E-03   0.239132E-01
 101   0.209426E-03   0.258703E-01
 102   0.229631E-03   0.272343E-01
 103   0.251785E-03   0.272804E-01
 104   0.276077E-03   0.277645E-01
 105   0.302712E-03   0.298711E-01
 106   0.331917E-03   0.326524E-01
 107   0.363940E-03   0.338309E-01
 108   0.399052E-03   0.349567E-01
 109   0.437552E-03   0.359845E-01
 110   0.479767E-03   0.369373E-01
 111   0.526054E-03   0.391083E-01
 112   0.576806E-03   0.413955E-01
 113   0.632456E-03   0.423709E-01
 114   0.693474E-03   0.440055E-01
 115   0.760379E-03   0.472990E-01
 116   0.833739E-03   0.492580E-01
 117   0.914176E-03   0.514265E-01
 118   0.100237E-02   0.542761E-01
 119   0.109908E-02   0.571895E-01
 120   0.120512E-02   0.596671E-01
 121   0.132139E-02   0.621199E-01
 122   0.144887E-02   0.651395E-01
 123   0.158866E-02   0.682184E-01
 124   0.174193E-02   0.715472E-01
 125   0.190999E-02   0.749666E-01
 126   0.209426E-02   0.770237E-01
 127   0.229631E-02   0.808158E-01
 128   0.251785E-02   0.846493E-01
 129   0.276077E-02   0.888589E-01
 130   0.302712E-02   0.935665E-01
 131   0.331917E-02   0.976619E-01
 132   0.363940E-02   0.102318E+00
 133   0.399052E-02   0.106615E+00
 134   0.437552E-02   0.111469E+00
 135   0.479767E-02   0.117201E+00
 136   0.526054E-02   0.122024E+00
 137   0.576806E-02   0.127732E+00
 138   0.632456E-02   0.133659E+00
 139   0.693474E-02   0.139479E+00
 140   0.760379E-02   0.145087E+00
 141   0.833739E-02   0.151459E+00
 142   0.914176E-02   0.159390E+00
 143   0.100237E-01   0.166381E+00
 144   0.109908E-01   0.173168E+00
 145   0.120512E-01   0.180492E+00
 146   0.132139E-01   0.188524E+00
 147   0.144887E-01   0.196783E+00
 148   0.158866E-01   0.205166E+00
 149   0.174193E-01   0.213984E+00
 150   0.190999E-01   0.223180E+00
 151   0.209426E-01   0.232251E+00
 152   0.229631E-01   0.241779E+00
 153   0.251785E-01   0.251587E+00
 154   0.276077E-01   0.261448E+00
 155   0.302712E-01   0.271153E+00
 156   0.331917E-01   0.281526E+00
 157   0.363940E-01   0.292336E+00
 158   0.399052E-01   0.303174E+00
 159   0.437552E-01   0.313849E+00
 160   0.479767E-01   0.324148E+00
 161   0.526054E-01   0.334680E+00
 162   0.576806E-01   0.345788E+00
 163   0.632456E-01   0.356631E+00
 164   0.693474E-01   0.366924E+00
 165   0.760379E-01   0.376527E+00
 166   0.833739E-01   0.386521E+00
 167   0.914176E-01   0.396568E+00
 168   0.100237E+00   0.405480E+00
 169   0.109908E+00   0.413384E+00
 170   0.120512E+00   0.420496E+00
 171   0.132139E+00   0.427767E+00
 172   0.144887E+00   0.434070E+00
 173   0.158866E+00   0.439237E+00
 174   0.174193E+00   0.443291E+00
 175   0.190999E+00   0.446160E+00
 176   0.209426E+00   0.448122E+00
 177   0.229631E+00   0.449332E+00
 178   0.251785E+00   0.448945E+00
 179   0.276077E+00   0.447262E+00
 180   0.302712E+00   0.444501E+00
 181   0.331917E+00   0.440630E+00
 182   0.363940E+00   0.435910E+00
 183   0.399052E+00   0.430039E+00
 184   0.437552E+00   0.423123E+00
 185   0.479767E+00   0.415276E+00
 186   0.526054E+00   0.406755E+00
 187   0.576806E+00   0.397578E+00
 188   0.632456E+00   0.387740E+00
 189   0.693474E+00   0.377261E+00
 190   0.760379E+00   0.366187E+00
 191   0.833739E+00   0.354778E+00
 192   0.914176E+00   0.343154E+00
 193   0.100237E+01   0.331112E+00
 194   0.109908E+01   0.318750E+00
 195   0.120512E+01   0.306184E+00
 196   0.132139E+01   0.293508E+00
 197   0.144887E+01   0.280735E+00
 198   0.158866E+01   0.267848E+00
 199   0.174193E+01   0.254899E+00
 200   0.190999E+01   0.241957E+00
 201   0.209426E+01   0.229089E+00
 202   0.229631E+01   0.216267E+00
 203   0.251785E+01   0.203572E+00
 204   0.276077E+01   0.191080E+00
 205   0.302712E+01   0.178845E+00
 206   0.331917E+01   0.166775E+00
 207   0.363940E+01   0.154952E+00
 208   0.399052E+01   0.143468E+00
 209   0.437552E+01   0.132341E+00
 210   0.479767E+01   0.121600E+00
 211   0.526054E+01   0.111220E+00
 212   0.576806E+01   0.101212E+00
 213   0.632456E+01   0.916426E-01
 214   0.693474E+01   0.825502E-01
 215   0.760379E+01   0.739669E-01
