#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.000000E+00
   2   0.229631E-07   0.000000E+00
   3   0.251785E-07   0.000000E+00
   4   0.276077E-07   0.000000E+00
   5   0.302712E-07   0.000000E+00
   6   0.331917E-07   0.000000E+00
   7   0.363940E-07   0.000000E+00
   8   0.399052E-07   0.000000E+00
   9   0.437552E-07   0.000000E+00
  10   0.479767E-07   0.000000E+00
  11   0.526054E-07   0.000000E+00
  12   0.576806E-07   0.000000E+00
  13   0.632456E-07   0.000000E+00
  14   0.693474E-07   0.000000E+00
  15   0.760379E-07   0.000000E+00
  16   0.833739E-07   0.000000E+00
  17   0.914176E-07   0.000000E+00
  18   0.100237E-06   0.000000E+00
  19   0.109908E-06   0.000000E+00
  20   0.120512E-06   0.000000E+00
  21   0.132139E-06   0.000000E+00
  22   0.144887E-06   0.000000E+00
  23   0.158866E-06   0.000000E+00
  24   0.174193E-06   0.000000E+00
  25   0.190999E-06   0.000000E+00
  26   0.209426E-06   0.000000E+00
  27   0.229631E-06   0.000000E+00
  28   0.251785E-06   0.000000E+00
  29   0.276077E-06   0.000000E+00
  30   0.302712E-06   0.000000E+00
  31   0.331917E-06   0.000000E+00
  32   0.363940E-06   0.000000E+00
  33   0.399052E-06   0.000000E+00
  34   0.437552E-06   0.000000E+00
  35   0.479767E-06   0.000000E+00
  36   0.526054E-06   0.000000E+00
  37   0.576806E-06   0.000000E+00
  38   0.632456E-06   0.000000E+00
  39   0.693474E-06   0.000000E+00
  40   0.760379E-06   0.000000E+00
  41   0.833739E-06   0.000000E+00
  42   0.914176E-06   0.000000E+00
  43   0.100237E-05   0.000000E+00
  44   0.109908E-05   0.000000E+00
  45   0.120512E-05   0.000000E+00
  46   0.132139E-05   0.000000E+00
  47   0.144887E-05   0.000000E+00
  48   0.158866E-05   0.000000E+00
  49   0.174193E-05   0.000000E+00
  50   0.190999E-05   0.000000E+00
  51   0.209426E-05   0.000000E+00
  52   0.229631E-05   0.000000E+00
  53   0.251785E-05   0.137989E-02
  54   0.276077E-05   0.176186E-02
  55   0.302712E-05   0.000000E+00
  56   0.331917E-05   0.000000E+00
  57   0.363940E-05   0.400953E-02
  58   0.399052E-05   0.522391E-02
  59   0.437552E-05   0.333498E-02
  60   0.479767E-05   0.434506E-03
  61   0.526054E-05   0.356647E-02
  62   0.576806E-05   0.445734E-02
  63   0.632456E-05   0.274672E-02
  64   0.693474E-05   0.220443E-02
  65   0.760379E-05   0.466063E-02
  66   0.833739E-05   0.491730E-02
  67   0.914176E-05   0.402856E-02
  68   0.100237E-04   0.589241E-02
  69   0.109908E-04   0.758675E-02
  70   0.120512E-04   0.714983E-02
  71   0.132139E-04   0.820349E-02
  72   0.144887E-04   0.130450E-01
  73   0.158866E-04   0.168397E-01
  74   0.174193E-04   0.180706E-01
  75   0.190999E-04   0.183360E-01
  76   0.209426E-04   0.284019E-01
  77   0.229631E-04   0.274462E-01
  78   0.251785E-04   0.340833E-01
  79   0.276077E-04   0.448520E-01
  80   0.302712E-04   0.535307E-01
  81   0.331917E-04   0.541799E-01
  82   0.363940E-04   0.703386E-01
  83   0.399052E-04   0.848885E-01
  84   0.437552E-04   0.100955E+00
  85   0.479767E-04   0.121835E+00
  86   0.526054E-04   0.144085E+00
  87   0.576806E-04   0.176824E+00
  88   0.632456E-04   0.216551E+00
  89   0.693474E-04   0.257538E+00
  90   0.760379E-04   0.298445E+00
  91   0.833739E-04   0.356062E+00
  92   0.914176E-04   0.431824E+00
  93   0.100237E-03   0.526331E+00
  94   0.109908E-03   0.630073E+00
  95   0.120512E-03   0.741836E+00
  96   0.132139E-03   0.903189E+00
  97   0.144887E-03   0.108009E+01
  98   0.158866E-03   0.130132E+01
  99   0.174193E-03   0.155812E+01
 100   0.190999E-03   0.184249E+01
 101   0.209426E-03   0.219272E+01
 102   0.229631E-03   0.262465E+01
 103   0.251785E-03   0.311354E+01
 104   0.276077E-03   0.366577E+01
 105   0.302712E-03   0.428552E+01
 106   0.331917E-03   0.501354E+01
 107   0.363940E-03   0.591452E+01
 108   0.399052E-03   0.693241E+01
 109   0.437552E-03   0.805279E+01
 110   0.479767E-03   0.927597E+01
 111   0.526054E-03   0.107396E+02
 112   0.576806E-03   0.124299E+02
 113   0.632456E-03   0.143085E+02
 114   0.693474E-03   0.163683E+02
 115   0.760379E-03   0.185948E+02
 116   0.833739E-03   0.211243E+02
 117   0.914176E-03   0.240777E+02
 118   0.100237E-02   0.272504E+02
 119   0.109908E-02   0.306589E+02
 120   0.120512E-02   0.343111E+02
 121   0.132139E-02   0.383918E+02
 122   0.144887E-02   0.430174E+02
 123   0.158866E-02   0.479273E+02
 124   0.174193E-02   0.531102E+02
 125   0.190999E-02   0.585471E+02
 126   0.209426E-02   0.645181E+02
 127   0.229631E-02   0.711065E+02
 128   0.251785E-02   0.779922E+02
 129   0.276077E-02   0.851094E+02
 130   0.302712E-02   0.923982E+02
 131   0.331917E-02   0.100265E+03
 132   0.363940E-02   0.108728E+03
 133   0.399052E-02   0.117364E+03
 134   0.437552E-02   0.126099E+03
 135   0.479767E-02   0.134849E+03
 136   0.526054E-02   0.144014E+03
 137   0.576806E-02   0.153635E+03
 138   0.632456E-02   0.163129E+03
 139   0.693474E-02   0.172422E+03
 140   0.760379E-02   0.181449E+03
 141   0.833739E-02   0.190644E+03
 142   0.914176E-02   0.199913E+03
 143   0.100237E-01   0.208702E+03
 144   0.109908E-01   0.216933E+03
 145   0.120512E-01   0.224537E+03
 146   0.132139E-01   0.231872E+03
 147   0.144887E-01   0.238914E+03
 148   0.158866E-01   0.245116E+03
 149   0.174193E-01   0.250451E+03
 150   0.190999E-01   0.254903E+03
 151   0.209426E-01   0.258745E+03
 152   0.229631E-01   0.261920E+03
 153   0.251785E-01   0.264088E+03
 154   0.276077E-01   0.265249E+03
 155   0.302712E-01   0.265419E+03
 156   0.331917E-01   0.264825E+03
 157   0.363940E-01   0.263404E+03
 158   0.399052E-01   0.261005E+03
 159   0.437552E-01   0.257682E+03
 160   0.479767E-01   0.253500E+03
 161   0.526054E-01   0.248592E+03
 162   0.576806E-01   0.242955E+03
 163   0.632456E-01   0.236580E+03
 164   0.693474E-01   0.229558E+03
 165   0.760379E-01   0.221983E+03
 166   0.833739E-01   0.213924E+03
 167   0.914176E-01   0.205402E+03
 168   0.100237E+00   0.196539E+03
 169   0.109908E+00   0.187421E+03
 170   0.120512E+00   0.178130E+03
 171   0.132139E+00   0.168691E+03
 172   0.144887E+00   0.159153E+03
 173   0.158866E+00   0.149654E+03
 174   0.174193E+00   0.140262E+03
 175   0.190999E+00   0.131036E+03
 176   0.209426E+00   0.121976E+03
 177   0.229631E+00   0.113112E+03
 178   0.251785E+00   0.104562E+03
 179   0.276077E+00   0.963526E+02
 180   0.302712E+00   0.885049E+02
 181   0.331917E+00   0.809976E+02
 182   0.363940E+00   0.738535E+02
 183   0.399052E+00   0.671262E+02
 184   0.437552E+00   0.608172E+02
 185   0.479767E+00   0.549233E+02
 186   0.526054E+00   0.494125E+02
 187   0.576806E+00   0.442886E+02
 188   0.632456E+00   0.395637E+02
 189   0.693474E+00   0.352234E+02
 190   0.760379E+00   0.312520E+02
 191   0.833739E+00   0.276190E+02
 192   0.914176E+00   0.243129E+02
 193   0.100237E+01   0.213269E+02
 194   0.109908E+01   0.186393E+02
 195   0.120512E+01   0.162291E+02
 196   0.132139E+01   0.140729E+02
 197   0.144887E+01   0.121540E+02
 198   0.158866E+01   0.104556E+02
 199   0.174193E+01   0.895785E+01
 200   0.190999E+01   0.764180E+01
 201   0.209426E+01   0.649075E+01
 202   0.229631E+01   0.548958E+01
 203   0.251785E+01   0.462197E+01
 204   0.276077E+01   0.387297E+01
 205   0.302712E+01   0.322896E+01
 206   0.331917E+01   0.267972E+01
 207   0.363940E+01   0.221398E+01
 208   0.399052E+01   0.181978E+01
 209   0.437552E+01   0.148764E+01
 210   0.479767E+01   0.120912E+01
 211   0.526054E+01   0.978364E+00
 212   0.576806E+01   0.788453E+00
 213   0.632456E+01   0.631849E+00
 214   0.693474E+01   0.503420E+00
 215   0.760379E+01   0.398718E+00
