#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.000000E+00
   2   0.229631E-07   0.000000E+00
   3   0.251785E-07   0.000000E+00
   4   0.276077E-07   0.000000E+00
   5   0.302712E-07   0.000000E+00
   6   0.331917E-07   0.000000E+00
   7   0.363940E-07   0.000000E+00
   8   0.399052E-07   0.000000E+00
   9   0.437552E-07   0.000000E+00
  10   0.479767E-07   0.000000E+00
  11   0.526054E-07   0.000000E+00
  12   0.576806E-07   0.000000E+00
  13   0.632456E-07   0.000000E+00
  14   0.693474E-07   0.000000E+00
  15   0.760379E-07   0.000000E+00
  16   0.833739E-07   0.000000E+00
  17   0.914176E-07   0.000000E+00
  18   0.100237E-06   0.000000E+00
  19   0.109908E-06   0.000000E+00
  20   0.120512E-06   0.000000E+00
  21   0.132139E-06   0.000000E+00
  22   0.144887E-06   0.000000E+00
  23   0.158866E-06   0.000000E+00
  24   0.174193E-06   0.000000E+00
  25   0.190999E-06   0.000000E+00
  26   0.209426E-06   0.000000E+00
  27   0.229631E-06   0.000000E+00
  28   0.251785E-06   0.000000E+00
  29   0.276077E-06   0.000000E+00
  30   0.302712E-06   0.000000E+00
  31   0.331917E-06   0.000000E+00
  32   0.363940E-06   0.000000E+00
  33   0.399052E-06   0.000000E+00
  34   0.437552E-06   0.000000E+00
  35   0.479767E-06   0.000000E+00
  36   0.526054E-06   0.000000E+00
  37   0.576806E-06   0.000000E+00
  38   0.632456E-06   0.000000E+00
  39   0.693474E-06   0.000000E+00
  40   0.760379E-06   0.000000E+00
  41   0.833739E-06   0.000000E+00
  42   0.914176E-06   0.000000E+00
  43   0.100237E-05   0.000000E+00
  44   0.109908E-05   0.000000E+00
  45   0.120512E-05   0.000000E+00
  46   0.132139E-05   0.000000E+00
  47   0.144887E-05   0.000000E+00
  48   0.158866E-05   0.000000E+00
  49   0.174193E-05   0.000000E+00
  50   0.190999E-05   0.000000E+00
  51   0.209426E-05   0.000000E+00
  52   0.229631E-05   0.211823E-02
  53   0.251785E-05   0.137989E-02
  54   0.276077E-05   0.755084E-03
  55   0.302712E-05   0.229548E-02
  56   0.331917E-05   0.209351E-02
  57   0.363940E-05   0.572790E-03
  58   0.399052E-05   0.000000E+00
  59   0.437552E-05   0.190570E-02
  60   0.479767E-05   0.521407E-02
  61   0.526054E-05   0.528365E-03
  62   0.576806E-05   0.168656E-02
  63   0.632456E-05   0.274672E-02
  64   0.693474E-05   0.300605E-02
  65   0.760379E-05   0.301570E-02
  66   0.833739E-05   0.475061E-02
  67   0.914176E-05   0.402856E-02
  68   0.100237E-04   0.658564E-02
  69   0.109908E-04   0.866153E-02
  70   0.120512E-04   0.778409E-02
  71   0.132139E-04   0.920264E-02
  72   0.144887E-04   0.136684E-01
  73   0.158866E-04   0.150901E-01
  74   0.174193E-04   0.172329E-01
  75   0.190999E-04   0.229928E-01
  76   0.209426E-04   0.294637E-01
  77   0.229631E-04   0.341942E-01
  78   0.251785E-04   0.356012E-01
  79   0.276077E-04   0.405732E-01
  80   0.302712E-04   0.524977E-01
  81   0.331917E-04   0.624493E-01
  82   0.363940E-04   0.790641E-01
  83   0.399052E-04   0.985577E-01
  84   0.437552E-04   0.120631E+00
  85   0.479767E-04   0.145226E+00
  86   0.526054E-04   0.173343E+00
  87   0.576806E-04   0.199942E+00
  88   0.632456E-04   0.249677E+00
  89   0.693474E-04   0.306667E+00
  90   0.760379E-04   0.359051E+00
  91   0.833739E-04   0.428138E+00
  92   0.914176E-04   0.510434E+00
  93   0.100237E-03   0.610385E+00
  94   0.109908E-03   0.730066E+00
  95   0.120512E-03   0.867483E+00
  96   0.132139E-03   0.102119E+01
  97   0.144887E-03   0.123530E+01
  98   0.158866E-03   0.146807E+01
  99   0.174193E-03   0.171506E+01
 100   0.190999E-03   0.198484E+01
 101   0.209426E-03   0.233735E+01
 102   0.229631E-03   0.274696E+01
 103   0.251785E-03   0.318668E+01
 104   0.276077E-03   0.366828E+01
 105   0.302712E-03   0.420386E+01
 106   0.331917E-03   0.484220E+01
 107   0.363940E-03   0.557241E+01
 108   0.399052E-03   0.637615E+01
 109   0.437552E-03   0.724658E+01
 110   0.479767E-03   0.818197E+01
 111   0.526054E-03   0.927413E+01
 112   0.576806E-03   0.105165E+02
 113   0.632456E-03   0.118344E+02
 114   0.693474E-03   0.132432E+02
 115   0.760379E-03   0.147510E+02
 116   0.833739E-03   0.164319E+02
 117   0.914176E-03   0.183521E+02
 118   0.100237E-02   0.203895E+02
 119   0.109908E-02   0.225443E+02
 120   0.120512E-02   0.248155E+02
 121   0.132139E-02   0.273280E+02
 122   0.144887E-02   0.301376E+02
 123   0.158866E-02   0.331017E+02
 124   0.174193E-02   0.362109E+02
 125   0.190999E-02   0.394544E+02
 126   0.209426E-02   0.430250E+02
 127   0.229631E-02   0.469528E+02
 128   0.251785E-02   0.510545E+02
 129   0.276077E-02   0.553020E+02
 130   0.302712E-02   0.596676E+02
 131   0.331917E-02   0.644092E+02
 132   0.363940E-02   0.695210E+02
 133   0.399052E-02   0.747644E+02
 134   0.437552E-02   0.800796E+02
 135   0.479767E-02   0.854134E+02
 136   0.526054E-02   0.910703E+02
 137   0.576806E-02   0.970161E+02
 138   0.632456E-02   0.102911E+03
 139   0.693474E-02   0.108702E+03
 140   0.760379E-02   0.114336E+03
 141   0.833739E-02   0.120085E+03
 142   0.914176E-02   0.125880E+03
 143   0.100237E-01   0.131400E+03
 144   0.109908E-01   0.136578E+03
 145   0.120512E-01   0.141360E+03
 146   0.132139E-01   0.145988E+03
 147   0.144887E-01   0.150425E+03
 148   0.158866E-01   0.154330E+03
 149   0.174193E-01   0.157692E+03
 150   0.190999E-01   0.160498E+03
 151   0.209426E-01   0.162902E+03
 152   0.229631E-01   0.164901E+03
 153   0.251785E-01   0.166258E+03
 154   0.276077E-01   0.166978E+03
 155   0.302712E-01   0.167081E+03
 156   0.331917E-01   0.166710E+03
 157   0.363940E-01   0.165820E+03
 158   0.399052E-01   0.164310E+03
 159   0.437552E-01   0.162219E+03
 160   0.479767E-01   0.159589E+03
 161   0.526054E-01   0.156500E+03
 162   0.576806E-01   0.152939E+03
 163   0.632456E-01   0.148927E+03
 164   0.693474E-01   0.144511E+03
 165   0.760379E-01   0.139740E+03
 166   0.833739E-01   0.134670E+03
 167   0.914176E-01   0.129322E+03
 168   0.100237E+00   0.123762E+03
 169   0.109908E+00   0.118051E+03
 170   0.120512E+00   0.112242E+03
 171   0.132139E+00   0.106352E+03
 172   0.144887E+00   0.100425E+03
 173   0.158866E+00   0.945392E+02
 174   0.174193E+00   0.887391E+02
 175   0.190999E+00   0.830598E+02
 176   0.209426E+00   0.774984E+02
 177   0.229631E+00   0.720973E+02
 178   0.251785E+00   0.669033E+02
 179   0.276077E+00   0.619328E+02
 180   0.302712E+00   0.571986E+02
 181   0.331917E+00   0.526912E+02
 182   0.363940E+00   0.484197E+02
 183   0.399052E+00   0.444017E+02
 184   0.437552E+00   0.406349E+02
 185   0.479767E+00   0.371148E+02
 186   0.526054E+00   0.338231E+02
 187   0.576806E+00   0.307529E+02
 188   0.632456E+00   0.279056E+02
 189   0.693474E+00   0.252708E+02
 190   0.760379E+00   0.228377E+02
 191   0.833739E+00   0.205859E+02
 192   0.914176E+00   0.185069E+02
 193   0.100237E+01   0.165976E+02
 194   0.109908E+01   0.148470E+02
 195   0.120512E+01   0.132448E+02
 196   0.132139E+01   0.117768E+02
 197   0.144887E+01   0.104357E+02
 198   0.158866E+01   0.921751E+01
 199   0.174193E+01   0.811415E+01
 200   0.190999E+01   0.711784E+01
 201   0.209426E+01   0.621944E+01
 202   0.229631E+01   0.541302E+01
 203   0.251785E+01   0.469366E+01
 204   0.276077E+01   0.405423E+01
 205   0.302712E+01   0.348780E+01
 206   0.331917E+01   0.298760E+01
 207   0.363940E+01   0.254822E+01
 208   0.399052E+01   0.216401E+01
 209   0.437552E+01   0.182914E+01
 210   0.479767E+01   0.153830E+01
 211   0.526054E+01   0.128745E+01
 212   0.576806E+01   0.107220E+01
 213   0.632456E+01   0.888098E+00
 214   0.693474E+01   0.731348E+00
 215   0.760379E+01   0.598544E+00
