#  i        E [GeV]   yield [GeV^-1 ann^-1]
 167   0.914176E-01   0.272011E+02
 168   0.100237E+00   0.269030E+02
 169   0.109908E+00   0.265274E+02
 170   0.120512E+00   0.260782E+02
 171   0.132139E+00   0.255716E+02
 172   0.144887E+00   0.250025E+02
 173   0.158866E+00   0.243721E+02
 174   0.174193E+00   0.236868E+02
 175   0.190999E+00   0.229518E+02
 176   0.209426E+00   0.221715E+02
 177   0.229631E+00   0.213552E+02
 178   0.251785E+00   0.205045E+02
 179   0.276077E+00   0.196265E+02
 180   0.302712E+00   0.187291E+02
 181   0.331917E+00   0.178158E+02
 182   0.363940E+00   0.168884E+02
 183   0.399052E+00   0.159589E+02
 184   0.437552E+00   0.150337E+02
 185   0.479767E+00   0.141183E+02
 186   0.526054E+00   0.132121E+02
 187   0.576806E+00   0.123196E+02
 188   0.632456E+00   0.114506E+02
 189   0.693474E+00   0.106092E+02
 190   0.760379E+00   0.979881E+01
 191   0.833739E+00   0.901701E+01
 192   0.914176E+00   0.826575E+01
 193   0.100237E+01   0.755311E+01
 194   0.109908E+01   0.687987E+01
 195   0.120512E+01   0.624635E+01
 196   0.132139E+01   0.565060E+01
 197   0.144887E+01   0.509224E+01
 198   0.158866E+01   0.457447E+01
 199   0.174193E+01   0.409625E+01
 200   0.190999E+01   0.365620E+01
 201   0.209426E+01   0.325167E+01
 202   0.229631E+01   0.288154E+01
 203   0.251785E+01   0.254538E+01
 204   0.276077E+01   0.224116E+01
 205   0.302712E+01   0.196683E+01
 206   0.331917E+01   0.171985E+01
 207   0.363940E+01   0.149847E+01
 208   0.399052E+01   0.130113E+01
 209   0.437552E+01   0.112573E+01
 210   0.479767E+01   0.970297E+00
 211   0.526054E+01   0.832943E+00
 212   0.576806E+01   0.712258E+00
 213   0.632456E+01   0.606600E+00
 214   0.693474E+01   0.514426E+00
 215   0.760379E+01   0.434325E+00
 216   0.833739E+01   0.365167E+00
 217   0.914176E+01   0.305740E+00
 218   0.100237E+02   0.254780E+00
 219   0.109908E+02   0.211262E+00
 220   0.120512E+02   0.174256E+00
 221   0.132139E+02   0.143040E+00
 222   0.144887E+02   0.116842E+00
 223   0.158866E+02   0.948675E-01
 224   0.174193E+02   0.765256E-01
 225   0.190999E+02   0.612973E-01
 226   0.209426E+02   0.488325E-01
