#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.232259E+01
   2   0.229631E-07   0.127094E+01
   3   0.251785E-07   0.413967E+00
   4   0.276077E-07   0.377542E+00
   5   0.302712E-07   0.114774E+01
   6   0.331917E-07   0.104675E+01
   7   0.363940E-07   0.135560E+01
   8   0.399052E-07   0.174130E+01
   9   0.437552E-07   0.161985E+01
  10   0.479767E-07   0.883495E+00
  11   0.526054E-07   0.911430E+00
  12   0.576806E-07   0.193955E+01
  13   0.632456E-07   0.192270E+01
  14   0.693474E-07   0.159320E+01
  15   0.760379E-07   0.172717E+01
  16   0.833739E-07   0.217528E+01
  17   0.914176E-07   0.258436E+01
  18   0.100237E-06   0.242629E+01
  19   0.109908E-06   0.229499E+01
  20   0.120512E-06   0.257163E+01
  21   0.132139E-06   0.259777E+01
  22   0.144887E-06   0.223011E+01
  23   0.158866E-06   0.255876E+01
  24   0.174193E-06   0.287215E+01
  25   0.190999E-06   0.274676E+01
  26   0.209426E-06   0.343411E+01
  27   0.229631E-06   0.357678E+01
  28   0.251785E-06   0.386369E+01
  29   0.276077E-06   0.388365E+01
  30   0.302712E-06   0.348684E+01
  31   0.331917E-06   0.383321E+01
  32   0.363940E-06   0.411836E+01
  33   0.399052E-06   0.453609E+01
  34   0.437552E-06   0.471027E+01
  35   0.479767E-06   0.450582E+01
  36   0.526054E-06   0.475397E+01
  37   0.576806E-06   0.536206E+01
  38   0.632456E-06   0.557035E+01
  39   0.693474E-06   0.585077E+01
  40   0.760379E-06   0.646639E+01
  41   0.833739E-06   0.653750E+01
  42   0.914176E-06   0.671098E+01
  43   0.100237E-05   0.720954E+01
  44   0.109908E-05   0.762342E+01
  45   0.120512E-05   0.772413E+01
  46   0.132139E-05   0.807939E+01
  47   0.144887E-05   0.851376E+01
  48   0.158866E-05   0.900597E+01
  49   0.174193E-05   0.950362E+01
  50   0.190999E-05   0.992218E+01
  51   0.209426E-05   0.100658E+02
  52   0.229631E-05   0.105055E+02
  53   0.251785E-05   0.110157E+02
  54   0.276077E-05   0.115963E+02
  55   0.302712E-05   0.122271E+02
  56   0.331917E-05   0.127524E+02
  57   0.363940E-05   0.133284E+02
  58   0.399052E-05   0.138434E+02
  59   0.437552E-05   0.144308E+02
  60   0.479767E-05   0.151731E+02
  61   0.526054E-05   0.159948E+02
  62   0.576806E-05   0.169356E+02
  63   0.632456E-05   0.176999E+02
  64   0.693474E-05   0.184639E+02
  65   0.760379E-05   0.193606E+02
  66   0.833739E-05   0.202961E+02
  67   0.914176E-05   0.211129E+02
  68   0.100237E-04   0.221347E+02
  69   0.109908E-04   0.231377E+02
  70   0.120512E-04   0.240031E+02
  71   0.132139E-04   0.252806E+02
  72   0.144887E-04   0.264107E+02
  73   0.158866E-04   0.276727E+02
  74   0.174193E-04   0.290478E+02
  75   0.190999E-04   0.304354E+02
  76   0.209426E-04   0.317241E+02
  77   0.229631E-04   0.331115E+02
  78   0.251785E-04   0.346552E+02
  79   0.276077E-04   0.362533E+02
  80   0.302712E-04   0.378206E+02
  81   0.331917E-04   0.395333E+02
  82   0.363940E-04   0.414616E+02
  83   0.399052E-04   0.433723E+02
  84   0.437552E-04   0.452604E+02
  85   0.479767E-04   0.471477E+02
  86   0.526054E-04   0.492260E+02
  87   0.576806E-04   0.514971E+02
  88   0.632456E-04   0.538154E+02
  89   0.693474E-04   0.560920E+02
  90   0.760379E-04   0.583018E+02
  91   0.833739E-04   0.608150E+02
  92   0.914176E-04   0.635067E+02
  93   0.100237E-03   0.661625E+02
  94   0.109908E-03   0.688057E+02
  95   0.120512E-03   0.714621E+02
  96   0.132139E-03   0.743414E+02
  97   0.144887E-03   0.773338E+02
  98   0.158866E-03   0.802812E+02
  99   0.174193E-03   0.831781E+02
 100   0.190999E-03   0.860222E+02
 101   0.209426E-03   0.890561E+02
 102   0.229631E-03   0.921886E+02
 103   0.251785E-03   0.952191E+02
 104   0.276077E-03   0.981341E+02
 105   0.302712E-03   0.100926E+03
 106   0.331917E-03   0.103832E+03
 107   0.363940E-03   0.106649E+03
 108   0.399052E-03   0.109241E+03
 109   0.437552E-03   0.111667E+03
 110   0.479767E-03   0.113918E+03
 111   0.526054E-03   0.115964E+03
 112   0.576806E-03   0.117943E+03
 113   0.632456E-03   0.119493E+03
 114   0.693474E-03   0.120675E+03
 115   0.760379E-03   0.121537E+03
 116   0.833739E-03   0.122111E+03
 117   0.914176E-03   0.122392E+03
 118   0.100237E-02   0.122133E+03
 119   0.109908E-02   0.121428E+03
 120   0.120512E-02   0.120347E+03
 121   0.132139E-02   0.118828E+03
 122   0.144887E-02   0.116903E+03
 123   0.158866E-02   0.114544E+03
 124   0.174193E-02   0.111774E+03
 125   0.190999E-02   0.108623E+03
 126   0.209426E-02   0.105119E+03
 127   0.229631E-02   0.101296E+03
 128   0.251785E-02   0.972282E+02
 129   0.276077E-02   0.929748E+02
 130   0.302712E-02   0.885953E+02
 131   0.331917E-02   0.841342E+02
 132   0.363940E-02   0.796207E+02
 133   0.399052E-02   0.751629E+02
 134   0.437552E-02   0.708191E+02
 135   0.479767E-02   0.666312E+02
 136   0.526054E-02   0.626276E+02
 137   0.576806E-02   0.588375E+02
 138   0.632456E-02   0.553174E+02
 139   0.693474E-02   0.520514E+02
 140   0.760379E-02   0.490217E+02
 141   0.833739E-02   0.462696E+02
 142   0.914176E-02   0.438106E+02
 143   0.100237E-01   0.415880E+02
 144   0.109908E-01   0.395815E+02
 145   0.120512E-01   0.377754E+02
 146   0.132139E-01   0.361960E+02
