#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.518933E+03
   2   0.229631E-07   0.509918E+03
   3   0.251785E-07   0.499934E+03
   4   0.276077E-07   0.493498E+03
   5   0.302712E-07   0.498120E+03
   6   0.331917E-07   0.512909E+03
   7   0.363940E-07   0.502795E+03
   8   0.399052E-07   0.490960E+03
   9   0.437552E-07   0.490798E+03
  10   0.479767E-07   0.503027E+03
  11   0.526054E-07   0.496914E+03
  12   0.576806E-07   0.486127E+03
  13   0.632456E-07   0.488916E+03
  14   0.693474E-07   0.492951E+03
  15   0.760379E-07   0.487365E+03
  16   0.833739E-07   0.476553E+03
  17   0.914176E-07   0.471319E+03
  18   0.100237E-06   0.466575E+03
  19   0.109908E-06   0.466149E+03
  20   0.120512E-06   0.470938E+03
  21   0.132139E-06   0.470097E+03
  22   0.144887E-06   0.461595E+03
  23   0.158866E-06   0.453951E+03
  24   0.174193E-06   0.447453E+03
  25   0.190999E-06   0.442283E+03
  26   0.209426E-06   0.444245E+03
  27   0.229631E-06   0.126031E+04
  28   0.251785E-06   0.247634E+04
  29   0.276077E-06   0.373273E+04
  30   0.302712E-06   0.478518E+04
  31   0.331917E-06   0.563123E+04
  32   0.363940E-06   0.631165E+04
  33   0.399052E-06   0.683456E+04
  34   0.437552E-06   0.722558E+04
  35   0.479767E-06   0.750583E+04
  36   0.526054E-06   0.768047E+04
  37   0.576806E-06   0.776152E+04
  38   0.632456E-06   0.778664E+04
  39   0.693474E-06   0.775405E+04
  40   0.760379E-06   0.766322E+04
  41   0.833739E-06   0.753656E+04
  42   0.914176E-06   0.737141E+04
  43   0.100237E-05   0.718203E+04
  44   0.109908E-05   0.696699E+04
  45   0.120512E-05   0.672950E+04
  46   0.132139E-05   0.649650E+04
  47   0.144887E-05   0.624420E+04
  48   0.158866E-05   0.599032E+04
  49   0.174193E-05   0.573624E+04
  50   0.190999E-05   0.548199E+04
  51   0.209426E-05   0.523266E+04
  52   0.229631E-05   0.497909E+04
  53   0.251785E-05   0.472966E+04
  54   0.276077E-05   0.448763E+04
  55   0.302712E-05   0.425397E+04
  56   0.331917E-05   0.402607E+04
  57   0.363940E-05   0.380610E+04
  58   0.399052E-05   0.359361E+04
  59   0.437552E-05   0.338906E+04
  60   0.479767E-05   0.319325E+04
  61   0.526054E-05   0.300824E+04
  62   0.576806E-05   0.283081E+04
  63   0.632456E-05   0.266241E+04
  64   0.693474E-05   0.250067E+04
  65   0.760379E-05   0.234510E+04
  66   0.833739E-05   0.220304E+04
  67   0.914176E-05   0.206409E+04
  68   0.100237E-04   0.193338E+04
  69   0.109908E-04   0.180976E+04
  70   0.120512E-04   0.169211E+04
  71   0.132139E-04   0.158232E+04
  72   0.144887E-04   0.147951E+04
  73   0.158866E-04   0.138276E+04
  74   0.174193E-04   0.129135E+04
  75   0.190999E-04   0.120509E+04
  76   0.209426E-04   0.112532E+04
  77   0.229631E-04   0.104939E+04
  78   0.251785E-04   0.977928E+03
  79   0.276077E-04   0.911191E+03
  80   0.302712E-04   0.848999E+03
  81   0.331917E-04   0.789998E+03
  82   0.363940E-04   0.735770E+03
  83   0.399052E-04   0.684528E+03
  84   0.437552E-04   0.636660E+03
  85   0.479767E-04   0.592409E+03
  86   0.526054E-04   0.550638E+03
  87   0.576806E-04   0.512156E+03
  88   0.632456E-04   0.475875E+03
  89   0.693474E-04   0.441857E+03
  90   0.760379E-04   0.410243E+03
  91   0.833739E-04   0.380931E+03
  92   0.914176E-04   0.353450E+03
  93   0.100237E-03   0.327991E+03
  94   0.109908E-03   0.304303E+03
  95   0.120512E-03   0.282161E+03
  96   0.132139E-03   0.261568E+03
